n,mode,time,cost,rel_cost
1000,Greedy_Baseline,0.22811651229858398,40.917640464846436,1.0
1000,Hybrid_PD_Fast,0.033463342988397926,53.95870654606707,1.3187150073432168
1000,Hybrid_PD_Balanced,0.06159258901607245,42.663741266547895,1.042673545733938
1000,Hybrid_LP_Skip,0.77408749202732,47.427872994863876,1.159105766023106
1000,Greedy_Baseline,0.1330411434173584,41.57928301619454,1.0
1000,Hybrid_PD_Fast,0.017236817977391183,51.97569462257245,1.2500382606965266
1000,Hybrid_PD_Balanced,0.03783833602210507,41.266913713524545,0.9924873812146224
1000,Hybrid_LP_Skip,0.45533658703789115,52.00897159549278,1.2508385864959728
1000,Greedy_Baseline,0.14095711708068848,43.42909246932013,1.0
1000,Hybrid_PD_Fast,0.019099104043561965,53.98203498843327,1.242992471614923
1000,Hybrid_PD_Balanced,0.03789833199698478,40.207060556671,0.925809365808754
1000,Hybrid_LP_Skip,0.5203581289970316,46.70043986783777,1.0753261745183518
5000,Greedy_Baseline,7.716357469558716,215.99984563583521,1.0
5000,Hybrid_PD_Fast,0.35490214196033776,283.683130024877,1.3133487627725087
5000,Hybrid_PD_Balanced,0.9074666940141469,230.06980647523474,1.0651387541411523
5000,Hybrid_LP_Skip,23.17757649999112,281.1937372595016,1.3018237880298302
5000,Greedy_Baseline,6.174190521240234,211.7144945940119,1.0
5000,Hybrid_PD_Fast,0.3645252150017768,276.2257610511087,1.304708785200583
5000,Hybrid_PD_Balanced,0.8976483999867924,229.1472535742766,1.0823408856048997
5000,Hybrid_LP_Skip,26.761961309006438,260.8791281289264,1.232221386774645
5000,Greedy_Baseline,7.022653818130493,215.44417249396395,1.0
5000,Hybrid_PD_Fast,0.3660577739938162,273.5863789682621,1.2698713351178117
5000,Hybrid_PD_Balanced,0.8682346469722688,227.79710784460215,1.0573370595623064
5000,Hybrid_LP_Skip,21.247050245001446,277.58481929523754,1.2884303904902072
10000,Greedy_Baseline,28.430151224136353,431.8884667190754,1.0
10000,Hybrid_PD_Fast,0.7562472020508721,564.0841689807311,1.3060875954060687
10000,Hybrid_PD_Balanced,2.163041822030209,455.6270723005105,1.0549646665996202
10000,Hybrid_LP_Skip,99.34232806100044,542.4908660774562,1.256090189670017
10000,Greedy_Baseline,34.130608797073364,430.41476705802387,1.0
10000,Hybrid_PD_Fast,1.0994432999868877,554.4671064074404,1.288215806807328
10000,Hybrid_PD_Balanced,2.8896636400022544,454.5222859754305,1.0560099716889053
10000,Hybrid_LP_Skip,120.23047555802623,529.9354617916248,1.2312204467654444
10000,Greedy_Baseline,37.479387283325195,433.4774597678506,1.0
10000,Hybrid_PD_Fast,0.7379160560085438,548.2802725790367,1.2648414818908207
10000,Hybrid_PD_Balanced,2.892464896023739,455.67391857974593,1.0512055663142963
10000,Hybrid_LP_Skip,119.60473926999839,530.3737818033732,1.223532550198609
20000,Greedy_Baseline,159.14423608779907,861.8144351657181,1.0
20000,Hybrid_PD_Fast,2.7376564639853314,1112.5231255978415,1.2909079729952708
20000,Hybrid_PD_Balanced,13.833790486038197,915.7652747263269,1.0626014572965867
20000,Hybrid_LP_Skip,499.10033911897335,1095.2358800311533,1.270848845576079
20000,Greedy_Baseline,227.41376280784607,864.7528127007444,1.0
20000,Hybrid_PD_Fast,3.516172965988517,1151.4972476818061,1.3315912140089128
20000,Hybrid_PD_Balanced,11.298606627970003,921.4538696018695,1.0655690921941494
20000,Hybrid_LP_Skip,537.9144202829921,1104.682170884478,1.2774542674621672
20000,Greedy_Baseline,139.27641010284424,878.0014250239789,1.0
20000,Hybrid_PD_Fast,4.861170052958187,1160.534014967679,1.3217905824423735
20000,Hybrid_PD_Balanced,17.122085089969914,933.3277913980858,1.063013982434705
20000,Hybrid_LP_Skip,542.6642187969992,1101.6194195172852,1.2546897853693109
