id,opt_cost,greedy_cost,Hybrid_Full_cost,Hybrid_NoLS_cost,Hybrid_Trials20_cost,Hybrid_LP_Skip_cost,Hybrid_PD_Fast_cost,Hybrid_PD_Balanced_cost
Inst-1,22.273461907942682,26.166727476055325,22.27346190794268,22.27346190794268,22.27346190794268,24.8565756099108,27.48643208385328,22.27346190794268
Inst-2,24.52783165949017,26.078727765253298,24.52783165949017,24.52783165949017,24.52783165949017,33.589871205228555,24.52783165949017,24.52783165949017
Inst-3,18.191115283819837,19.506145248423017,18.191115283819837,18.191115283819837,18.191115283819837,35.56238069524315,18.78002718414076,18.78002718414076
Inst-4,19.4843603627689,21.041050690165257,19.4843603627689,19.4843603627689,19.4843603627689,30.17714881812754,19.4843603627689,19.4843603627689
Inst-5,21.40708135791816,23.391518010682645,21.40708135791816,21.40708135791816,21.40708135791816,25.90304335327904,21.40708135791816,21.40708135791816
Inst-6,24.387203114536607,24.387203114536607,24.387203114536607,24.387203114536607,24.387203114536607,34.50194272944122,32.72423013986135,24.387203114536607
Inst-7,20.48603936710572,22.453715436229192,20.486039367105725,20.486039367105725,20.486039367105725,26.874646177198997,25.300724624097466,20.486039367105725
Inst-8,18.775757026101417,19.976055915683332,18.775757026101417,18.775757026101417,18.775757026101417,23.70194149445377,18.775757026101417,18.775757026101417
Inst-9,32.590103137133035,40.702953736607896,32.590103137133035,32.590103137133035,32.590103137133035,45.72872687292285,33.35249116151523,32.590103137133035
Inst-10,27.40671404850639,27.40671404850639,27.40671404850639,27.40671404850639,27.40671404850639,50.86307775784478,27.40671404850639,27.40671404850639
